deputado;partido;UF;n_ocorrencias
Abel Mesquita Jr. (DEM-RR);DEM;RR;0
Carlos Andrade (PHS-RR);PHS;RR;4
Edio Lopes (PR-RR);PR;RR;1
Hiran Gonçalves (PP-RR);PP;RR;0
Jhonatan de Jesus (PRB-RR);PRB;RR;0
Maria Helena (PSB-RR);PSB;RR;0
Remídio Monai (PR-RR);PR;RR;0
Shéridan (PSDB-RR);PSDB;RR;2
Afonso Hamm (PP-RS);PP;RS;1
Afonso Motta (PDT-RS);PDT;RS;0
Alceu Moreira (PMDB-RS);PMDB;RS;4
Bohn Gass (PT-RS);PT;RS;0
Carlos Gomes (PRB-RS);PRB;RS;0
Covatti Filho (PP-RS);PP;RS;0
Danrlei de Deus Hinterholz (PSD-RS);PSD;RS;0
Darcísio Perondi (PMDB-RS);PMDB;RS;2
Giovani Cherini (PDT-RS);PDT;RS;1
Heitor Schuch (PSB-RS);PSB;RS;0
Henrique Fontana (PT-RS);PT;RS;0
Jerônimo Goergen (PP-RS);PP;RS;2
João Derly (REDE-RS);REDE;RS;1
José Fogaça (PMDB-RS);PMDB;RS;1
José Otávio Germano (PP-RS);PP;RS;4
Jose Stédile (PSB-RS);PSB;RS;8
Luis Carlos Heinze (PP-RS);PP;RS;1
Luiz Carlos Busato (PTB-RS);PTB;RS;0
Marco Maia (PT-RS);PT;RS;2
Marcon (PT-RS);PT;RS;1
Maria do Rosário (PT-RS);PT;RS;1
Mauro Pereira (PMDB-RS);PMDB;RS;3
Nelson Marchezan Junior (PSDB-RS);PSDB;RS;0
Onyx Lorenzoni (DEM-RS);DEM;RS;0
Osmar Terra (PMDB-RS);PMDB;RS;3
Paulo Pimenta (PT-RS);PT;RS;2
Pepe Vargas (PT-RS);PT;RS;0
Pompeo de Mattos (PDT-RS);PDT;RS;2
Renato Molling (PP-RS);PP;RS;2
Ronaldo Nogueira (PTB-RS);PTB;RS;1
Sérgio Moraes (PTB-RS);PTB;RS;4
Carmen Zanotto (PPS-SC);PPS;SC;4
Celso Maldaner (PMDB-SC);PMDB;SC;4
Cesar Souza (PSD-SC);PSD;SC;1
Décio Lima (PT-SC);PT;SC;11
